No,Kode Saham,Nama Perusahaan,Remarks,Sebelumnya,Open Price,Tanggal Perdagangan Terakhir,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
549,NICK,Charnic Capital Tbk.,--U-2100000000G512------------,167,0,09 Jan 2023,0,167,157,157,-10,52400,8593600,35,78.5,166,120600,157,9800,651150000,651150000,120202290,0,0,0,0,0
550,NICL,PAM Mineral Tbk.,--U-2130000000B146------------,180,0,09 Jan 2023,0,191,170,174,-6,257533900,45991993900,14834,174,175,1720600,174,829100,9662516057,9662516057,2000140819,39917400,16572800,0,0,0
551,NIKL,Pelat Timah Nusantara Tbk.,--U-1105000000B146------------,630,0,09 Jan 2023,0,640,630,640,10,108500,68999000,91,196.9,640,2800,630,1100,2523350000,2523350000,368156765,1900,1800,0,0,0
552,NINE,Techno9 Indonesia Tbk.,--U-3000000000I221------------,42,0,09 Jan 2023,0,44,39,41,-1,6623000,269877000,700,54.7,43,367700,41,212200,2157000000,432000000,0,0,0,0,0,0
553,NIPS,Nipress Tbk.,--U-2100000000E111B--L---Y---X,282,0,09 Jan 2023,0,0,0,282,0,0,0,0,205.2,0,0,0,0,1635333332,1635333332,618319533,0,0,0,0,0
554,NIRO,City Retail Developments Tbk.,--U-1135000000H111------------,142,0,09 Jan 2023,0,143,141,143,1,900,127500,3,136.2,143,2325700,140,230000,22198871804,22198871804,5549717951,0,0,0,0,0
555,NISP,Bank OCBC NISP Tbk.,--M-1105001000G111------------,730,0,09 Jan 2023,0,750,730,740,10,5613500,4168133000,431,896.7,740,405600,735,12400,22715776032,22715776032,3150678136,232300,5400,55000,40425000,1
556,NOBU,Bank Nationalnobu Tbk.,--U-1105000000G111------------,545,0,09 Jan 2023,0,560,515,515,-30,327600,173185000,82,137.3,515,5800,510,58500,4556256627,4556256627,743581082,0,8700,0,0,0
557,NPGF,Nusa Palapa Gemilang Tbk.,--U-1130000000B112------------,50,0,09 Jan 2023,0,50,50,50,0,5300,265000,9,50,50,1861800,0,0,3240235840,3240235840,648047168,0,0,0,0,0
558,NRCA,Nusa Raya Cipta Tbk.,--U-1130000000J211------------,294,0,09 Jan 2023,0,300,294,296,2,281700,83426200,82,34.8,298,50900,296,3100,2496258344,2496258344,265851514,0,0,0,0,0
559,NTBK,Nusatama Berkah Tbk.,--U-2130000000C141-----------X,50,0,09 Jan 2023,0,50,50,50,0,3000,150000,6,50,50,10245200,0,0,2700027708,2700027708,826477214,0,0,0,0,0
560,NUSA,Sinergi Megah Internusa Tbk.,--U-2100000000E512---L---Y---X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,33.3,0,0,0,0,7700000148,7700000148,4383610084,0,0,0,0,0
561,NZIA,Nusantara Almazia Tbk.,--U-1130000000H111------------,262,0,09 Jan 2023,0,270,248,256,-6,5848500,1504993200,1358,116.4,256,2100,252,134100,2197540705,2197540705,461263794,51000,1043300,0,0,0
562,OASA,Maharaksa Biru Energi Tbk.,CRU-2100000000J321----S------X,730,0,09 Jan 2023,0,735,680,680,-50,7326700,5100320000,803,357.9,680,3261100,0,0,358600000,358600000,161334140,20900,0,0,0,0
563,OBMD,OBM Drilchem Tbk.,--M-2130000000B113------------,177,0,09 Jan 2023,0,180,167,168,-9,812600,141053300,318,93.3,168,94900,167,69100,805992931,805992931,145884721,212000,0,4375000,774375000,1
564,OCAP,Onix Capital Tbk.,--U-2100000000G511-ED-S------X,159,0,09 Jan 2023,0,0,0,159,0,0,0,0,79.5,0,0,0,0,273200000,273200000,32784000,0,0,0,0,0
565,OILS,Indo Oil Perkasa Tbk.,--U-2130000000D232------------,218,0,09 Jan 2023,0,218,210,210,-8,634700,135206400,99,77.8,214,31300,210,276900,454056563,454056563,115375773,0,0,0,0,0
566,OKAS,Ancora Indonesia Resources Tbk.,--U-2100000000B111------------,101,0,09 Jan 2023,0,110,98,101,0,12755200,1301540700,1307,252.7,101,258600,100,135800,1765927777,1765927777,476270721,140400,66400,0,0,0
567,OLIV,Oscar Mitra Sukses Sejahtera Tbk.,--U-3000000000E211------------,25,0,09 Jan 2023,0,26,25,26,1,1177600,29777300,95,26,26,3070600,25,1640000,1900011940,1900011940,0,0,0,0,0,0
568,OMED,Jayamas Medica Industri Tbk.,--U-1130000000F112------------,220,0,09 Jan 2023,0,226,218,222,2,144896700,32256712000,4142,108.8,224,3125200,222,4580200,27058850000,4056620300,3598827050,3614000,14464200,0,0,0
569,OMRE,Indonesia Prima Property Tbk,--U-2130000000H111-----------X,575,0,09 Jan 2023,0,535,535,535,-40,7700,4119500,13,34.3,535,183700,0,0,1938845182,1938845182,712152020,0,0,0,0,0
570,OPMS,Optima Prima Metal Sinergi Tbk.,--U-2130000000B144------------,84,0,09 Jan 2023,0,86,82,84,0,1232600,102026700,237,62.2,84,186700,83,149900,1000000000,1000000000,201600000,0,270000,0,0,0
571,PADA,Personel Alih Daya Tbk.,--U-2130000000C231------------,244,0,09 Jan 2023,0,232,228,228,-16,52652000,12008272200,1831,228,228,7882500,0,0,3150000000,900000000,899955000,0,763300,0,0,0
572,PADI,Minna Padi Investama Sekuritas Tbk.,--U-1100000000G312-----------X,50,0,09 Jan 2023,0,50,50,50,0,3100,155000,2,98.9,50,75615300,0,0,11307246524,11307246524,11246187393,0,0,0,0,0
573,PALM,Provident Investasi Bersama Tbk.,--M-2135000000D232------------,650,0,09 Jan 2023,0,670,640,655,5,704200,457218500,131,179,655,12300,640,28000,7119540356,7119540356,815899325,4200,100200,0,0,0
574,PAMG,Bima Sakti Pertiwi Tbk.,--U-1130000000H111------------,68,0,09 Jan 2023,0,68,65,65,-3,620800,40566200,84,65,66,14300,65,51100,3125000000,625000000,892500000,0,0,0,0,0
575,PANI,Pratama Abadi Nusa Industri Tbk.,--U-2135000000D222------------,990,0,09 Jan 2023,0,1005,985,985,-5,1414100,1402988500,332,12843.9,995,15200,985,67000,13530000000,13530000000,1614129000,84200,3000,0,0,0
576,PANR,Panorama Sentrawisata Tbk.,--U-1100000000E513------------,535,0,09 Jan 2023,0,550,498,500,-35,3184200,1655768900,1132,300,500,191600,498,99500,1200000000,1200000000,447840000,202700,30500,0,0,0
577,PANS,Panin Sekuritas Tbk.,--M-1105000000G312------------,1825,0,09 Jan 2023,0,1845,1810,1830,5,85100,156067500,111,1330.9,1835,100,1830,500,720000000,720000000,289584000,0,3400,0,0,0
578,PBID,Panca Budi Idaman Tbk.,--M-1135000000B131------------,1575,0,09 Jan 2023,0,1580,1550,1550,-25,329600,513677000,119,182.4,1550,300,1545,6200,1875000000,1875000000,260062500,8400,0,0,0,0
579,PBRX,Pan Brothers Tbk.,--M-1100000000E411------------,100,0,09 Jan 2023,0,111,102,105,5,75800500,8088352400,5359,185.8,106,628800,105,1242400,6478295611,6478295611,3117355848,89900,107800,0,0,0
580,PBSA,Paramita Bangun Sarana Tbk.,--U-1130000000J211------------,298,0,09 Jan 2023,0,304,298,300,2,244100,73329800,103,49.9,302,32000,300,100,3000000000,3000000000,368400000,0,0,0,0,0
581,PCAR,Prima Cakrawala Abadi Tbk.,--U-2130000000D112------------,81,0,09 Jan 2023,0,92,76,82,1,23312800,2002438600,2376,54.7,83,182900,82,72900,1166666700,1166646700,630350018,95000,0,0,0,0
582,PDES,Destinasi Tirta Nusantara Tbk,--U-2100000000E513------------,306,0,09 Jan 2023,0,306,304,304,-2,441800,134364200,148,152,304,5300,302,83000,715000000,715000000,190118500,0,0,0,0,0
583,PDPP,Primadaya Plastisindo Tbk.,--U-2130000000B131------------,202,0,09 Jan 2023,0,206,202,202,0,3900100,791387200,452,101,204,145400,202,796300,2500000000,1500000000,375000000,16700,7800,0,0,0
584,PEGE,Panca Global Kapital Tbk.,--U-2105000000G511------------,434,0,09 Jan 2023,0,0,0,434,0,0,0,0,937.6,430,100,420,100,2833417056,2833417056,619951652,0,0,0,0,0
585,PEHA,Phapros Tbk.,--U-1130000000F211------------,680,0,09 Jan 2023,0,680,675,675,-5,25600,17384000,15,56.3,680,200,675,59800,840000000,840000000,246876000,0,0,0,0,0
586,PGAS,Perusahaan Gas Negara Tbk.,--MO1XNTVMH000A112------------,1585,1585,09 Jan 2023,1585,1610,1505,1535,-50,49929200,77040400500,10919,511.7,1540,739300,1535,477500,24241508196,24241508196,10433545128,15480900,11580100,5020,9280400,2
587,PGJO,Tourindo Guide Indonesia Tbk.,--U-3000000000I111------------,76,0,09 Jan 2023,0,79,69,76,0,710000,54909000,75,131.7,77,35000,71,7400,761659095,761659095,0,0,0,0,0,0
588,PGLI,Pembangunan Graha Lestari Indah Tbk.,--U-2130000000E512------------,268,0,09 Jan 2023,0,334,250,334,66,1071000,350130400,271,445.3,0,0,334,408900,488000000,488000000,53484800,0,0,0,0,0
589,PGUN,Pradiksi Gunatama Tbk.,--U-1135000000D232------------,950,0,09 Jan 2023,0,1185,945,1125,175,657700,714758500,665,978.3,1130,20500,1125,3482600,5737848882,5737848882,900204636,0,2600,0,0,0
590,PICO,Pelangi Indah Canindo Tbk,--U-2100000000B131------------,224,0,09 Jan 2023,0,250,216,220,-4,11285400,2634374400,3335,33.8,228,7000,220,247800,568375000,568375000,190178275,121800,360500,0,0,0
591,PJAA,Pembangunan Jaya Ancol Tbk.,--U-1130000000E514------------,695,0,09 Jan 2023,0,705,690,700,5,86400,60005500,55,136.6,700,47800,695,200,1599999996,1599999996,160000000,0,31700,0,0,0
592,PKPK,Perdana Karya Perkasa Tbk,--U-2130000000A132------------,280,0,09 Jan 2023,0,280,262,278,-2,1067000,291869600,254,69.5,278,13900,276,99000,600000000,600000000,299460000,0,0,0,0,0
593,PLAN,Planet Properindo Jaya Tbk.,--U-3000000000E512------------,28,0,09 Jan 2023,0,28,27,27,-1,342400,9246900,41,24.1,27,342900,26,633400,892863180,892863180,0,0,0,0,0,0
594,PLAS,Polaris Investama Tbk,--U-2100000000G511---L---Y---X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,11.8,0,0,0,0,1184200000,1184200000,999938480,0,0,0,0,0
595,PLIN,Plaza Indonesia Realty Tbk.,--U-1135000000H111------------,2250,0,09 Jan 2023,0,2240,2240,2240,-10,2800,6272000,5,929.5,2180,10000,2130,300,3550000000,3550000000,85200000,0,0,0,0,0
596,PMJS,Putra Mandiri Jembar Tbk.,--U-2135000000E745------------,156,0,09 Jan 2023,0,158,147,154,-2,73500,11328800,48,123.2,155,23000,154,2200,13755600000,13755600000,1031670000,0,0,0,0,0
597,PMMP,Panca Mitra Multiperdana Tbk.,--M-1800000000D222------------,370,0,09 Jan 2023,0,376,366,370,0,7486200,2777723200,2267,110.1,370,207700,368,300000,2353000000,2353000000,352950000,220600,75900,0,0,0
598,PNBN,Bank Pan Indonesia Tbk,--M-115F000000G111------------,1255,0,09 Jan 2023,0,1335,1260,1315,60,4926900,6427324000,1125,2189.5,1315,300,1305,50000,23837645998,23837645998,3485063845,660000,2846900,37,47360,1
599,PNBS,Bank Panin Dubai Syariah Tbk.,--U-1135000000G111------------,64,0,09 Jan 2023,0,65,63,63,-1,19289200,1227593400,730,63,64,3894400,63,6285600,38425504906,38425504906,2920338373,420400,537700,0,0,0
600,PNGO,Pinago Utama Tbk.,--U-2105000000B153------------,1295,0,09 Jan 2023,0,1295,1295,1295,0,700,906500,2,518,1295,400,1260,10000,781250000,781250000,180468750,0,0,0,0,0
601,PNIN,Paninvest Tbk.,--U-1105000000G412------------,1185,0,09 Jan 2023,0,1220,1165,1215,30,2721600,3255711500,621,1292,1215,314700,1205,700,4068323920,4068323920,1314882291,266300,1271300,0,0,0
602,PNLF,Panin Financial Tbk.,--M-1805000000G413------------,310,0,09 Jan 2023,0,328,312,324,14,46835000,15066029600,2596,350.2,324,895300,322,75600,32022073293,32022073293,10250265661,5497600,17309300,0,0,0
603,PNSE,Pudjiadi & Sons Tbk.,--U-2130000000E512-----------X,418,0,09 Jan 2023,0,0,0,418,0,0,0,0,208.9,458,300,394,900,797813496,797813496,62947485,0,0,0,0,0
604,POLA,Pool Advista Finance Tbk.,--U-2100000000G211------------,67,0,09 Jan 2023,0,71,67,68,1,2496000,170691700,438,50.4,68,180200,67,169000,2729385300,2729385300,436974587,0,0,0,0,0
605,POLI,Pollux Hotels Group Tbk.,--U-2105000000H111------------,790,0,09 Jan 2023,0,810,790,805,15,26900,21523000,19,49.2,800,1700,790,1200,2010526400,2010526400,4624211,5900,0,0,0,0
606,POLL,Pollux Properties Indonesia Tbk.,--U-2135000000H111------------,202,0,09 Jan 2023,0,210,200,204,2,484700,100171600,250,33.2,206,151600,202,24600,8318823600,8318823600,66550589,26100,4200,0,0,0
607,POLU,Golden Flower Tbk.,--U-2130000000E411------------,322,0,09 Jan 2023,0,300,300,300,-22,37100,11130000,17,104.2,300,68700,0,0,750000000,220500000,1500000,0,0,0,0,0
608,POLY,Asia Pacific Fibers Tbk,--U-2100000000E413-E---------X,53,0,09 Jan 2023,0,56,52,53,0,316000,16755600,48,0.5,53,1800,52,926400,2495753334,2495753334,827841381,0,0,0,0,0
609,POOL,Pool Advista Indonesia Tbk.,--U-2100000000G511-----------X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,31.7,0,0,0,0,2341366264,2341366264,1519312569,0,0,0,0,0
610,PORT,Nusantara Pelabuhan Handal Tbk.,--U-2135000000J113------------,915,0,09 Jan 2023,0,855,855,855,-60,1700,1453500,10,159.8,855,2400,0,0,2813941985,2813941985,576858107,0,0,0,0,0
611,POSA,Bliss Properti Indonesia Tbk.,--U-2100000000H111-E---------X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,33.3,0,0,0,0,8388870206,8388870206,1702101765,0,0,0,0,0
612,POWR,Cikarang Listrindo Tbk.,--M-1175000000J411------------,655,0,09 Jan 2023,0,665,650,660,5,2890300,1909231000,480,44,660,646600,655,404800,16087156000,16087156000,2080069271,79000,2026100,45000,28665000,1
613,PPGL,Prima Globalindo Logistik Tbk.,--U-3000000000K211------------,130,0,09 Jan 2023,0,131,128,130,0,416000,53777200,130,118.2,131,410100,130,37000,771178020,771178020,0,0,0,0,0,0
614,PPRE,PP Presisi Tbk.,--M-1135050000J211------------,120,0,09 Jan 2023,0,121,116,117,-3,2022100,238589900,208,27.2,118,700,117,744700,10224271000,10224271000,1660421610,0,648800,0,0,0
615,PPRO,PP Properti Tbk.,--U-1105000000H111-----------X,50,0,09 Jan 2023,0,50,50,50,0,105100,5255000,33,108.1,50,72039900,0,0,61675671883,61675671883,13426793769,0,0,0,0,0
616,PRAS,Prima Alloy Steel Universal Tbk.,--U-1100000000E111------------,130,0,09 Jan 2023,0,139,127,139,9,225600,30631300,130,78.3,139,35400,136,5000,701043478,701043478,34491339,0,0,0,0,0
617,PRAY,Famon Awal Bros Sedaya Tbk.,--U-1130000000F121------------,740,0,09 Jan 2023,0,750,725,730,-10,532700,390592500,246,81.1,735,47800,725,16600,13959422300,13959422300,1395942230,2900,8400,0,0,0
618,PRDA,Prodia Widyahusada Tbk.,--M-1835000000F121------------,5375,0,09 Jan 2023,0,5650,5375,5625,250,1256700,6956717500,909,86.5,5650,300,5625,4200,937500000,937500000,262500000,456200,252600,0,0,0
619,PRIM,Royal Prima Tbk.,--U-2130000000F121------------,177,0,09 Jan 2023,0,184,175,176,-1,70500,12463800,31,35.2,180,65700,176,2100,3393434905,3393434905,337646773,0,0,0,0,0
620,PSAB,J Resources Asia Pasifik Tbk.,--U-2135000000B143------------,112,0,09 Jan 2023,0,118,113,117,5,11545200,1340192200,776,379.6,117,1043100,116,78000,26460000000,26460000000,1979208000,4000,117000,0,0,0
621,PSDN,Prasidha Aneka Niaga Tbk,--U-2100000000D222------------,80,0,09 Jan 2023,0,83,77,80,0,849000,67339500,159,8,80,191300,79,5000,1440000000,1440000000,111744000,0,0,0,0,0
622,PSGO,Palma Serasih Tbk.,--U-1105000000D232------------,156,0,09 Jan 2023,0,156,150,155,-1,149700,22765700,51,147.6,155,72200,154,4500,18850000000,18850000000,2850120000,0,100,0,0,0
623,PSKT,Red Planet Indonesia Tbk.,--U-2130000000E512------------,65,0,09 Jan 2023,0,70,64,65,0,34853000,2349183400,13307,77.3,66,162100,65,747400,10351231636,10351231636,2047473618,0,0,0,0,0
624,PSSI,Pelita Samudera Shipping Tbk.,--M-1135000000A122------------,595,0,09 Jan 2023,0,600,590,590,-5,925200,550127000,103,437,595,4100,590,207000,5417063153,5417063153,617003493,0,0,0,0,0
625,PTBA,Bukit Asam Tbk.,--MO1XDPXL0000A121------------,3430,3430,09 Jan 2023,3440,3450,3260,3280,-150,33045500,109675599000,10800,2852.2,3280,29900,3270,355200,11520659250,11520659250,3851356387,4111900,1789100,1593010,5494290800,6
626,PTDU,Djasa Ubersakti Tbk.,--U-2130000000J211------------,54,0,09 Jan 2023,0,55,53,54,0,1522900,81782800,159,54,54,53900,53,1227000,1500000000,1500000000,400050000,400,0,0,0,0
627,PTIS,Indo Straits Tbk.,--U-1100000000A122------------,540,0,09 Jan 2023,0,550,505,535,-5,2805200,1482570500,736,56.3,535,25400,530,12500,550165300,550165300,93638134,0,10000,0,0,0
628,PTPP,PP (Persero) Tbk.,--M-18AMV56000J211M-----------,695,0,09 Jan 2023,0,705,665,665,-30,10934600,7428275000,1765,125,670,220500,665,636500,6199897354,6199897354,3037329714,797200,635200,0,0,0
629,PTPW,Pratama Widya Tbk.,--U-2130000000J211------------,875,0,09 Jan 2023,0,885,865,870,-5,75500,66130500,143,133.8,870,3900,865,13700,878187500,878187500,84130363,0,0,0,0,0
630,PTRO,Petrosea Tbk.,--M-1135000000A132------------,4190,0,09 Jan 2023,0,4260,4150,4230,40,1100700,4646860000,372,3384,4260,1300,4230,18300,1008605000,1008605000,76351399,0,6300,0,0,0
631,PTSN,Sat Nusapersada Tbk,--U-1135000000I211------------,187,0,09 Jan 2023,0,195,188,189,2,284400,54662200,128,97.8,191,51600,189,22300,5314344000,5314344000,343838057,0,0,0,0,0
632,PTSP,Pioneerindo Gourmet International Tbk.,--U-2135000000E515-----------X,3400,0,09 Jan 2023,0,3600,3410,3410,10,10100,36334000,3,267.5,3390,100,3250,200,220808000,220808000,68847934,0,0,0,0,0
633,PUDP,Pudjiadi Prestige Tbk.,--U-1130000000H111------------,352,0,09 Jan 2023,0,400,370,400,48,137900,54928800,36,49.9,402,1500,372,100,329560000,329560000,75238548,0,0,0,0,0
634,PURA,Putra Rajawali Kencana Tbk.,--U-2130000000K211-----------X,50,0,09 Jan 2023,0,50,50,50,0,13600,680000,11,47.6,50,20875600,0,0,6057226083,6057226083,3523459932,0,0,0,0,0
635,PURE,Trinitan Metals and Minerals Tbk.,--U-2100000000B146---L---Y---X,51,0,09 Jan 2023,0,0,0,51,0,0,0,0,17,0,0,0,0,1375181505,1375181505,862238804,0,0,0,0,0
636,PURI,Puri Global Sukses Tbk.,--U-2130000000H111------------,238,0,09 Jan 2023,0,260,238,238,0,28800,6887600,26,140,258,5100,238,17000,1000000000,1000000000,116500000,0,0,0,0,0
637,PWON,Pakuwon Jati Tbk.,--M-183CMHG000H111------------,448,0,09 Jan 2023,0,452,446,450,2,10577800,4757341000,1469,1734.8,450,4400,448,698000,48159602400,48159602400,14919844824,3211400,5188000,152,68400,4
638,PYFA,Pyridam Farma Tbk,--U-2100000000F211------------,855,0,09 Jan 2023,0,860,855,855,0,2100,1796000,7,837.9,860,4500,850,500,535080000,535080000,130666536,0,0,0,0,0
639,PZZA,Sarimelati Kencana Tbk.,--U-1135000000E515------------,530,0,09 Jan 2023,0,535,530,530,0,15000,7956500,15,48.2,535,21900,530,6000,3021875000,3021875000,667532188,3200,0,0,0,0
640,RAFI,Sari Kreasi Boga Tbk.,--M-2130000000E515------------,124,0,09 Jan 2023,0,124,116,116,-8,32992600,3904418600,4564,92.1,116,1127600,0,0,3128090000,948090000,712891711,791800,528700,0,0,0
641,RAJA,Rukun Raharja Tbk.,--U-1135000000A112------------,1035,0,09 Jan 2023,0,1070,1025,1050,15,16345900,17167815000,1558,3606.8,1050,285600,1045,227100,4227082500,4227082500,1175128935,2986700,3042400,0,0,0
642,RALS,Ramayana Lestari Sentosa Tbk.,--M-1135100000E731------------,640,0,09 Jan 2023,0,655,630,640,0,17529700,11235613000,1590,400,645,463500,640,361000,7096000000,7096000000,1544799200,492100,111900,0,0,0
643,RANC,Supra Boga Lestari Tbk.,--U-2135000000D113------------,795,0,09 Jan 2023,0,795,780,780,-15,21300,16721500,24,156,780,5500,775,4500,1564487500,1564487500,167713060,0,0,0,0,0
644,RBMS,Ristia Bintang Mahkotasejati Tbk.,--U-1130000000H111------------,50,0,09 Jan 2023,0,50,50,50,0,29900,1495000,8,16,50,38511400,0,0,2656212826,2656212826,1265154169,0,0,0,0,0
645,RCCC,Utama Radar Cahaya Tbk.,--U-3000000000K211------------,130,0,09 Jan 2023,0,133,128,131,1,923700,120145700,181,97,131,15100,130,14400,750000000,150000000,0,0,0,0,0,0
646,RDTX,Roda Vivatex Tbk,CDU-1135000000H111------------,10000,0,09 Jan 2023,0,12000,9975,12000,2000,166300,1846552500,135,632.2,12000,4000,11600,500,268800000,268800000,53195520,4400,400,0,0,0
647,REAL,Repower Asia Indonesia Tbk.,--U-2130000000H111-----------X,50,0,09 Jan 2023,0,50,50,50,0,20500,1025000,6,50,50,111035000,0,0,6633610151,6633610151,2046468732,0,0,0,0,0
648,RELI,Reliance Sekuritas Indonesia Tbk.,--U-1105000000G312------------,550,0,09 Jan 2023,0,575,525,540,-10,1200,666500,8,249.2,545,100,540,1000,1800000000,1800000000,243180000,0,0,0,0,0
649,RICY,Ricky Putra Globalindo Tbk,--U-1100000000E411------------,81,0,09 Jan 2023,0,83,80,81,0,688300,55537000,128,12.9,81,175200,80,119800,641717510,641717510,298591157,0,0,0,0,0
650,RIGS,Rig Tenders Indonesia Tbk.,--U-2130000000A122------------,494,0,09 Jan 2023,0,505,490,498,4,152600,74909900,33,204.1,498,11200,490,2600,609130000,609130000,107633271,0,0,0,0,0
651,RIMO,Rimo International Lestari Tbk,--U-2105000000H111---L---Y---X,50,0,09 Jan 2023,0,0,0,50,0,0,0,0,27.5,0,0,0,0,45080600000,45080600000,28657737420,0,0,0,0,0
652,RISE,Jaya Sukses Makmur Sentosa Tbk.,--U-2135000000H111------------,975,0,09 Jan 2023,0,990,935,960,-15,6100,5883000,29,589,960,1300,950,300,10945000000,10945000000,2499838000,4100,0,0,0,0
653,RMBA,Bentoel Internasional Investama Tbk.,--U-1105000000D311-----------X,306,0,09 Jan 2023,0,0,0,306,0,0,0,0,2394.4,0,0,0,0,36401136250,36401136250,7280227,0,0,0,0,0
654,RMKE,RMK Energy Tbk.,--M-1135400000A122------------,930,0,09 Jan 2023,0,940,925,935,5,6865000,6408340000,797,453.9,935,171800,930,2500,4375000000,4375000000,735000000,660500,123900,0,0,0
655,ROCK,Rockfields Properti Indonesia Tbk.,--U-2130000000H111-----------X,294,0,09 Jan 2023,0,0,0,294,0,0,0,0,21.9,292,100,278,100,1435185100,1435185100,287037020,0,0,0,0,0
656,RODA,Pikko Land Development Tbk.,--U-2135000000H111------------,54,0,09 Jan 2023,0,56,54,55,1,83100,4554200,36,87.8,56,757200,55,400,13592128209,13592128209,2439787014,0,0,0,0,0
657,RONY,Aesler Grup Internasional Tbk.,--U-2100000000J211-----------X,800,0,09 Jan 2023,0,0,0,800,0,0,0,0,800,0,0,0,0,1250000000,1250000000,126625000,0,0,0,0,0
658,ROTI,Nippon Indosari Corpindo Tbk.,--U-1135000000D222------------,1300,0,09 Jan 2023,0,1350,1300,1345,45,177600,238709500,122,527.5,1345,34400,1325,600,6186488888,6186488888,443571253,28900,600,0,0,0
659,RSGK,Kedoya Adyaraya Tbk.,--U-1135000000F121------------,1090,0,09 Jan 2023,0,1080,1015,1015,-75,217000,221381000,85,59,1015,44200,0,0,929675000,929675000,62102290,0,0,0,0,0
660,RUIS,Radiant Utama Interinsco Tbk.,--U-2100000000A132------------,308,0,09 Jan 2023,0,338,308,332,24,56319400,17966771200,7090,132.8,332,16306700,330,47375300,770000000,770000000,261800000,0,35000,0,0,0
661,RUNS,Global Sukses Solusi Tbk.,--U-3000000000I131------------,162,0,09 Jan 2023,0,165,159,159,-3,17100,2764800,28,62.6,159,160200,158,800,983557875,983557875,0,0,0,0,0,0
662,SAFE,Steady Safe Tbk,--U-2100000000K132-E---------X,220,0,09 Jan 2023,0,220,214,218,-2,505000,110344400,462,21.9,220,43400,216,300,615145012,615145012,37892933,0,0,0,0,0
663,SAME,Sarana Meditama Metropolitan Tbk.,--U-2835000000F121------------,286,0,09 Jan 2023,0,292,280,290,4,2512900,727103200,417,556.6,290,271200,288,4200,17129632545,17129632545,4049445134,0,0,0,0,0
664,SAMF,Saraswanti Anugerah Makmur Tbk.,--U-1135000000B112------------,416,0,09 Jan 2023,0,420,410,410,-6,456200,189011000,183,341.7,410,6000,408,19900,5125000000,5125000000,313137500,700,0,0,0,0
665,SAPX,Satria Antaran Prima Tbk.,--U-2130000000K211------------,815,0,09 Jan 2023,0,840,760,760,-55,3100,2407500,20,304,775,400,760,1000,833333300,830113500,64499997,0,0,0,0,0
666,SATU,Kota Satu Properti Tbk.,--U-2100000000H111------------,69,0,09 Jan 2023,0,69,68,68,-1,1038300,71025400,123,58.1,69,963200,68,636700,1375000000,1375000000,414562500,0,0,0,0,0
667,SBAT,Sejahtera Bintang Abadi Textile Tbk.,--U-2100000000E413-----------X,50,0,09 Jan 2023,0,50,50,50,0,300,15000,3,47.6,50,167921600,0,0,4752982378,4752982378,2193026069,0,0,0,0,0
668,SBMA,Surya Biru Murni Acetylene Tbk.,--U-2130000000B111------------,202,0,09 Jan 2023,0,202,188,197,-5,4910300,940199900,834,109.4,198,147200,197,48500,929926282,929926282,279907811,0,0,0,0,0
669,SCCO,Supreme Cable Manufacturing & Commerce Tbk.,--U-1135000000C131------------,8425,0,09 Jan 2023,0,8450,8200,8425,0,4700,39032500,18,5435.5,8425,300,8200,200,205583400,205583400,31947660,0,0,0,0,0
670,SCMA,Surya Citra Media Tbk.,--M-1K35MD0000E612------------,206,0,09 Jan 2023,0,218,206,216,10,128109100,27485948000,4060,488.6,216,7603100,214,4266700,73970569505,73970569505,17989642504,8174100,6763400,1639600,339397200,1
671,SCNP,Selaras Citra Nusantara Perkasa Tbk.,--U-2130000000E212------------,242,0,09 Jan 2023,0,248,238,248,6,302100,73181200,79,225.5,246,10000,244,14400,2500000000,2500000000,111250000,0,0,0,0,0
672,SCPI,Organon Pharma Indonesia Tbk.,--U-2130000000F211-----------X,29000,0,09 Jan 2023,0,0,0,29000,0,0,0,0,227.5,0,0,0,0,3600000,3600000,5400,0,0,0,0,0
673,SDMU,Sidomulyo Selaras Tbk.,--U-2100000000K211------------,65,0,09 Jan 2023,0,66,61,64,-1,3549500,224179100,476,35.2,64,304800,63,200,1135225000,1135225000,425482330,1300,14100,0,0,0
674,SDPC,Millennium Pharmacon International Tbk.,--U-1130000000D111------------,258,0,09 Jan 2023,0,258,240,256,-2,7943900,1956518200,1258,170.9,256,575900,254,1103300,1274000000,1274000000,173264000,16600,2249300,0,0,0
675,SDRA,Bank Woori Saudara Indonesia 1906 Tbk.,XDU-1105000000G111------------,565,0,09 Jan 2023,0,575,570,575,10,23400,13363500,16,651.8,575,20300,565,2400,8482552020,8482552020,709141349,0,0,0,0,0
676,SEMA,Semacom Integrated Tbk.,--M-2130000000A211------------,147,0,09 Jan 2023,0,148,145,147,0,3870200,568728900,222,81.7,147,35600,146,34500,1347129542,1347129542,342705938,70000,71500,0,0,0
